claire@abberleycarefarm.co.uk , Abberley Care Farm Ltd
office@crss.org.uk , Camphill School Aberdeen - Murtle Farm & Garden
djcapsey@gmail.com , Capsey's Care Farm
caradoncarefarm@gmail.com , Caradon Care Farm
No email found , CC Therapy Farm
chalkhillfarm123@gmail.com , Chalkhill Farm
cityfarm.stoke@gmail.com , City Farm, Stoke-on-Trent
info@cityofderryfarmandequestrian.com , City of Derry Farm and Equestrian Centre
info@clayfarmgarden.org , Clay Farm Community Garden
admin@clinkscarefarm.org , Clinks Care Farm
jim.clynfyw@gmail.com , Clynfyw Care Farm CIC
mitch140@hotmail.co.uk , Cobnor Farm
hello@cofarm.co , COFARM Foundation
martha.sneyd@gmail.com , Coldrenick Farm
schooloffice.bebington@coopacademies.co.uk , Coop Academy Bebington School Farm
holli@coreysfarm.org.uk , Corey's Farm
cornclosecarefarm@btinternet.com , Corn Close Care Farm
info@cornhillfarm.co.uk , Cornhill Farm
robertairey085@gmail.com , Cowfield Farm
creatingwelhealthcooperative@gmail.com , Creating Welhealth Cooperative (Farm: Ty Nant, Fferm Frwythau)
info@crimsham-farm.co.uk , Crimsham Farm CIC
robdownham828@gmail.com , Crookes Community Farm
office@netherfieldplacefarm.co.uk , CTS Farms
admin@curlyslegacy.co.uk , Curly's Farm
nimrobins@gmail.com , Cynefin farm CIC
danielfarmwylam@aol.com , Daniel Farm
darwin.nurseries@cpft.nhs.uk , Darwin Nurseries and Farm Shop
debencommunityfarm@gmail.com , Deben Community Farm
hello@dedhamtherapyfarm.org.uk , Dedham Therapy Farm CIC
manager@deencityfarm.co.uk , Deen City Farm
No email found , Dennings Down Farm
rachael@densholmefarm-action.co.uk , Densholme Care Farm
tim@depden.com , Depden Care Farm
farm@cooptions.co.uk , Derwen Cornel Farm
garyalex@fair-green.net , Diss Community Farm
dolanssocialfarm@gmail.com , Dolan's Social Farm
jo@dorsetlavenderfarmproject.co.uk , Dorset Lavender Farm Project
info@downswoodalpacas.co.uk , Downswood Care Farm
sue@dreamcarefarmcic.co.uk , Dream Care Farm CIC
roniswift@btinternet.com , Dunston Care Farm
nicky.mcgovern@pss.org.uk , Dutch Farm - Person Shaped Support
No email found , Earth Trust Farm
jean.rolfe@lorica.org.uk , East Clayton Farm
No email found , East Hull Community Farm
vicstone1@googlemail.com , East Langford Care Farm
susan.cowperthwaite@ntlworld.com , Eastbrook Farm Allotments Society
info@vsa.org.uk , Easter Anguston Farm
chris@edfordscarefarm.co.uk , Edfords Care Farm
info@elmtreefarm.org , Elm Tree Farm
amarah.patel@elsley.brent.sch.uk , Elsley Primary School Farm
management@fairfieldresidential.co.uk , Fairfield Care Farm Project
fairfieldcf@outlook.com , Fairfield Community Farm
brian@bjc-uk.com , Farm & Fell
info@farmability.org.uk , Farm Ability
lorna@fullersflowers.co.uk , Farm Days
hayley-worthington@hotmail.com , Farm Family CIC
jo-anne.johnston@groundwork.org.uk , Farm School , Groundwork, Jarrow Hall
stephen@farmbuddies.org.uk , FarmBuddies
communities@farmeco.co.uk , FarmEco
No email found , FarmEco Community Farm
info@farmergills.com , Farmer Gill’s Mobile Farm
bethanyfrench@hotmail.com , Farmers Way Community Garden
admin@farmsforcitychildren.org , Farms for City Children
hello@farnhamcommunityfarm.com , Farnham Community Farm
fermanaghopenfarm@hotmail.com , Fermanagh Fun Farm C.I.C
fernyleafarm@yahoo.com , Fernylea Farm
office@moelyci.org , Ffarm Moelyci
volunteers@dolydd-gobaith.cymru , Fferm Goedwig Gymunedol Dyffryn Tanat Valley Community Forest Farm CIC
fieldhead@focus-trust.co.uk , Fieldhead School Farm
jo@fieldsandfarms.org.uk , Fields and Farms
tara.gibsone@findhorn.org , Findhorn Bay Care Farm (organisation - Findhorn Foundation)
fionasfarmtherapy@gmail.com , Fiona's Farm Therapy
info@fiveacrefarm.org.uk , Five Acre Community Farm
head@floweryfield.tameside.sch.uk , Flowery Farm (Flowery Field Primary School)
debbie.ide@btinternet.com , Fogi Farm
info@forestfarmpeacegarden.org , Forest Farm Peace Garden
woodworkout@gmail.com , Forget Me Not Care Farm
fortyhallfarm@capel.ac.uk , Forty Hall Farm
No email found , Four acre farm
rich@gucu.org.uk , Fowey Farm
foxglovefarminkpen@gmail.com , Foxglove Care Farm
info@framptonfarm.co.uk , Frampton Farm
liz@freightlinersfarm.org.uk , Freightliners Farm
ashley.richardson@thebefriendingscheme.org.uk , Friends Community Farm
friendsoffairlandsfarm@gmail.com , Friends of Fairlands Farm C.I.C.
office.3083@fringford.oxon.sch.uk , Fringford Primary School Farm
tom@fullcirclefarmssussex.co.uk , Full Circle Farms Ltd
djd66@hotmai.co.uk , Funfords Mini Farm
admin@futuresfarm.co.uk , Futures Farm Project CIC
michelle.gellifedi@gmail.com , Gelli Fedi Social Farm
gibsidecommunityfarm@gmail.com , Gibside Community Farm CIC
m.blakeborough@gilbrook.wirral.sch.uk , Gilbrook School Urban Farm
rolf.marschalek.cir@hotmail.co.uk , Gipping Valley Farmers
No email found , Glenside Farm Comber CIC
gloverspiece@gmail.com , Gloverspiece Minifarm & School
No email found , GlynGorse Farm
